,富邦加權正2 (00675L),,,元大投資級公司債 (00720B),,,
日期,價格,股數(張),金額,價格,股數(張),金額,配息
2024/01/03,52.55,42,"$2,207,100",33.21,30,"$996,300","$12,200"
2024/01/16,57.95,1,"$57,950",,,,
2024/01/17,57.5,2,"$115,000",,,,"$14,400"
2024/02/15,,,,34.79,5,"$173,950",
2024/02/15,,,,34.80,5,"$174,000",
2024/02/20,,,,34.68,5,"$173,400",
2024/04/17,74.75,5,"$373,750",34.75,-10,"-$347,500",
2024/04/18,,,,,,,"$17,850"
2024/04/19,74.1,5,"$370,500",34.31,-10,"-$343,100",
2024/04/26,,,,34.05,10,"$340,500",
2024/06/13,94.4,-7,"-$660,800",35.58,19,"$676,020",
2024/07/16,,,,,,,"$28,080"
2024/08/06,76,5,"$380,000",36.21,-10,"-$362,100",
2024/09/04,81.15,5,"$405,750",36.4,-10,"-$364,000",
2024/10/17,,,,,,,"$17,340"
2025/01/17,,,,,,,"$17,000"
2025/04/08,58.5,5,"$292,500",34.29,-10,"-$342,900",
2025/04/09,52,5,"$260,000",32.75,-10,"-$327,500",
2025/04/23,,,,,,,"$7,000"
2025/05/12,74.2,-4,"-$296,800",30.88,10,"$308,800",
2025/05/12,74.3,-4,"-$297,200",30.88,11,"$339,680",
2025/07/21,,,,,,,"$15,750"
2025/08/18,104,-5,"-$520,000",32.07,17,"$545,190",
2025/09/11,113,-5,"-$565,000",33.18,18,"$597,240",
2025/10/07,129.7,-5,"-$648,500",33.49,20,"$669,800",
2025/10/23,,,,,,,"$41,400"
2025/11/19,124.2,5,"$621,000",33.22,-18,"-$597,960",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
累計,,50,"$2,095,250",,72,"$2,309,820","$171,020"
,,,,,總投入資本,"$4,405,070",
收盤價,$133.60,50,$6680000.00,$34.05,72,$2451600.00,
,,,,,現值,$9131600.00,"$9,302,620"
報酬,,,,,,"$4,897,550",111.2%
